Seed set to: 0 (type: <class 'int'>)
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torchmetrics/functional/image/lpips.py:326: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  self.load_state_dict(torch.load(model_path, map_location="cpu"), strict=False)
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torchmetrics/functional/image/lpips.py:326: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  self.load_state_dict(torch.load(model_path, map_location="cpu"), strict=False)
Loading Dataset ...
System Paths:
/home/chahyon/jaxsplatam/third_party/splatam/SplaTAM
/home/chahyon/jaxsplatam/scripts
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python312.zip
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/lib-dynload
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages
/home/chahyon/jaxsplatam/third_party/splatam
/home/chahyon/jaxsplatam/third_party/gsplat
/home/chahyon/jaxsplatam
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/setuptools/_vendor
/tmp/tmpgyberx7a
/home/chahyon/jaxsplatam/third_party/splatam/SplaTAM/datasets/gradslam_datasets/tum.py:46: UserWarning: Input line 1 contained no data and will not be counted towards `max_rows=50000`.  This differs from the behaviour in NumPy <=1.22 which counted lines rather than rows.  If desired, the previous behaviour can be achieved by using `itertools.islice`.
Please see the 1.23 release notes for an example on how to do this.  If you wish to ignore this warning, use `warnings.filterwarnings`.  This warning is expected to be removed in the future and is given only once per `loadtxt` call.
  data = np.loadtxt(filepath, delimiter=' ',
/home/chahyon/jaxsplatam/third_party/splatam/SplaTAM/datasets/gradslam_datasets/tum.py:46: UserWarning: Input line 2 contained no data and will not be counted towards `max_rows=50000`.  This differs from the behaviour in NumPy <=1.22 which counted lines rather than rows.  If desired, the previous behaviour can be achieved by using `itertools.islice`.
Please see the 1.23 release notes for an example on how to do this.  If you wish to ignore this warning, use `warnings.filterwarnings`.  This warning is expected to be removed in the future and is given only once per `loadtxt` call.
  data = np.loadtxt(filepath, delimiter=' ',
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torch/_inductor/compile_fx.py:150: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(

  0%|          | 0/592 [00:00<?, ?it/s]
  0%|          | 0/592 [00:00<?, ?it/s, num_gaussians: 255190 | tracking_loss: 0.0000 | mapping_loss: 0.0000]/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:663: UserWarning: Graph break due to unsupported builtin fused_ssim_cuda.PyCapsule.fusedssim. This function is either a Python builtin (e.g. _warnings.warn) or a third-party C/C++ Python extension (perhaps created with pybind). If it is a Python builtin, please file an issue on GitHub so the PyTorch team can add support for it and see the next case for a workaround. If it is a third-party C/C++ Python extension, please either wrap it into a PyTorch-understood custom operator (see https://pytorch.org/tutorials/advanced/custom_ops_landing_page.html for more details) or, if it is traceable, use torch.compiler.allow_in_graph.
  torch._dynamo.utils.warn_once(msg)

  0%|          | 1/592 [00:03<31:52,  3.24s/it, num_gaussians: 255190 | tracking_loss: 0.0000 | mapping_loss: 0.0000]
  0%|          | 1/592 [00:03<31:52,  3.24s/it, num_gaussians: 255190 | tracking_loss: 0.0000 | mapping_loss: 0.0553]
  0%|          | 2/592 [00:03<17:19,  1.76s/it, num_gaussians: 255190 | tracking_loss: 0.0000 | mapping_loss: 0.0553]
  0%|          | 2/592 [00:03<17:19,  1.76s/it, num_gaussians: 266651 | tracking_loss: 3805.9011 | mapping_loss: 0.0681]
  1%|          | 3/592 [00:04<10:02,  1.02s/it, num_gaussians: 266651 | tracking_loss: 3805.9011 | mapping_loss: 0.0681]
  1%|          | 3/592 [00:04<10:02,  1.02s/it, num_gaussians: 273712 | tracking_loss: 4211.4600 | mapping_loss: 0.0510]
  1%|          | 4/592 [00:04<06:33,  1.50it/s, num_gaussians: 273712 | tracking_loss: 4211.4600 | mapping_loss: 0.0510]
  1%|          | 4/592 [00:04<06:33,  1.50it/s, num_gaussians: 278362 | tracking_loss: 3463.8020 | mapping_loss: 0.0675]
  1%|          | 5/592 [00:04<04:37,  2.11it/s, num_gaussians: 278362 | tracking_loss: 3463.8020 | mapping_loss: 0.0675]
  1%|          | 5/592 [00:04<04:37,  2.11it/s, num_gaussians: 284726 | tracking_loss: 3322.8477 | mapping_loss: 0.0643]/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:663: UserWarning: Graph break due to unsupported builtin gsplat.csrc.PyCapsule.fully_fused_projection_packed_fwd. This function is either a Python builtin (e.g. _warnings.warn) or a third-party C/C++ Python extension (perhaps created with pybind). If it is a Python builtin, please file an issue on GitHub so the PyTorch team can add support for it and see the next case for a workaround. If it is a third-party C/C++ Python extension, please either wrap it into a PyTorch-understood custom operator (see https://pytorch.org/tutorials/advanced/custom_ops_landing_page.html for more details) or, if it is traceable, use torch.compiler.allow_in_graph.
  torch._dynamo.utils.warn_once(msg)

  1%|          | 6/592 [00:04<05:01,  1.94it/s, num_gaussians: 284726 | tracking_loss: 3322.8477 | mapping_loss: 0.0643]
  1%|          | 6/592 [00:04<05:01,  1.94it/s, num_gaussians: 291484 | tracking_loss: 3623.9778 | mapping_loss: 0.0611]
  1%|          | 7/592 [00:05<04:41,  2.08it/s, num_gaussians: 291484 | tracking_loss: 3623.9778 | mapping_loss: 0.0611]
  1%|          | 7/592 [00:05<04:41,  2.08it/s, num_gaussians: 298668 | tracking_loss: 5247.8003 | mapping_loss: 0.0481]
  1%|▏         | 8/592 [00:05<03:48,  2.56it/s, num_gaussians: 298668 | tracking_loss: 5247.8003 | mapping_loss: 0.0481]
  1%|▏         | 8/592 [00:05<03:48,  2.56it/s, num_gaussians: 306479 | tracking_loss: 4783.5884 | mapping_loss: 0.0481]
  2%|▏         | 9/592 [00:05<03:12,  3.03it/s, num_gaussians: 306479 | tracking_loss: 4783.5884 | mapping_loss: 0.0481]
  2%|▏         | 9/592 [00:05<03:12,  3.03it/s, num_gaussians: 313875 | tracking_loss: 5657.7666 | mapping_loss: 0.0295]
  2%|▏         | 10/592 [00:05<02:48,  3.45it/s, num_gaussians: 313875 | tracking_loss: 5657.7666 | mapping_loss: 0.0295]
  2%|▏         | 10/592 [00:05<02:48,  3.45it/s, num_gaussians: 320073 | tracking_loss: 7218.4082 | mapping_loss: 0.0820]
  2%|▏         | 11/592 [00:06<03:03,  3.17it/s, num_gaussians: 320073 | tracking_loss: 7218.4082 | mapping_loss: 0.0820]
  2%|▏         | 11/592 [00:06<03:03,  3.17it/s, num_gaussians: 326647 | tracking_loss: 6504.6494 | mapping_loss: 0.0682]
  2%|▏         | 12/592 [00:06<02:42,  3.56it/s, num_gaussians: 326647 | tracking_loss: 6504.6494 | mapping_loss: 0.0682]
  2%|▏         | 12/592 [00:06<02:42,  3.56it/s, num_gaussians: 330731 | tracking_loss: 7259.2188 | mapping_loss: 0.0806]
  2%|▏         | 13/592 [00:06<02:29,  3.88it/s, num_gaussians: 330731 | tracking_loss: 7259.2188 | mapping_loss: 0.0806]
  2%|▏         | 13/592 [00:06<02:29,  3.88it/s, num_gaussians: 335339 | tracking_loss: 6367.6577 | mapping_loss: 0.0284]
  2%|▏         | 14/592 [00:06<02:09,  4.48it/s, num_gaussians: 335339 | tracking_loss: 6367.6577 | mapping_loss: 0.0284]
  2%|▏         | 14/592 [00:06<02:09,  4.48it/s, num_gaussians: 342336 | tracking_loss: 8050.0679 | mapping_loss: 0.0791]
  3%|▎         | 15/592 [00:07<01:56,  4.97it/s, num_gaussians: 342336 | tracking_loss: 8050.0679 | mapping_loss: 0.0791]
  3%|▎         | 15/592 [00:07<01:56,  4.97it/s, num_gaussians: 352602 | tracking_loss: 7636.1680 | mapping_loss: 0.0254]
  3%|▎         | 16/592 [00:07<01:47,  5.36it/s, num_gaussians: 352602 | tracking_loss: 7636.1680 | mapping_loss: 0.0254]
  3%|▎         | 16/592 [00:07<01:47,  5.36it/s, num_gaussians: 358729 | tracking_loss: 8783.4707 | mapping_loss: 0.0311]
  3%|▎         | 17/592 [00:07<01:39,  5.75it/s, num_gaussians: 358729 | tracking_loss: 8783.4707 | mapping_loss: 0.0311]
  3%|▎         | 17/592 [00:07<01:39,  5.75it/s, num_gaussians: 367216 | tracking_loss: 8777.6230 | mapping_loss: 0.0508]
  3%|▎         | 18/592 [00:07<01:35,  6.03it/s, num_gaussians: 367216 | tracking_loss: 8777.6230 | mapping_loss: 0.0508]
  3%|▎         | 18/592 [00:07<01:35,  6.03it/s, num_gaussians: 377365 | tracking_loss: 9865.3994 | mapping_loss: 0.0562]
  3%|▎         | 19/592 [00:07<01:31,  6.24it/s, num_gaussians: 377365 | tracking_loss: 9865.3994 | mapping_loss: 0.0562]
  3%|▎         | 19/592 [00:07<01:31,  6.24it/s, num_gaussians: 391728 | tracking_loss: 9643.7402 | mapping_loss: 0.0257]
  3%|▎         | 20/592 [00:07<01:29,  6.41it/s, num_gaussians: 391728 | tracking_loss: 9643.7402 | mapping_loss: 0.0257]
  3%|▎         | 20/592 [00:07<01:29,  6.41it/s, num_gaussians: 404842 | tracking_loss: 9635.8828 | mapping_loss: 0.0615]
  4%|▎         | 21/592 [00:07<01:27,  6.50it/s, num_gaussians: 404842 | tracking_loss: 9635.8828 | mapping_loss: 0.0615]
